ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
TBR1_HUMAN.H11MO.0.D,TBR1_HUMAN.H11MO.0.D,TBR1,TBR1,13,D,TBrain-related factors{6.5.2},10716,TBR1_HUMAN,6.5.2
TBX15_HUMAN.H11MO.0.D,TBX15_HUMAN.H11MO.0.D,TBX15,TBX15,19,D,TBX1-related factors{6.5.3},6913,TBX15_HUMAN,6.5.3
TBX19_HUMAN.H11MO.0.D,TBX19_HUMAN.H11MO.0.D,TBX19,TBX19,22,D,Brachyury-related factors{6.5.1},9095,TBX19_HUMAN,6.5.1
TBX1_HUMAN.H11MO.0.D,TBX1_HUMAN.H11MO.0.D,TBX1,TBX1,20,D,TBX1-related factors{6.5.3},6899,TBX1_HUMAN,6.5.3
TBX20_HUMAN.H11MO.0.D,TBX20_HUMAN.H11MO.0.D,TBX20,TBX20,14,D,TBX1-related factors{6.5.3},57057,TBX20_HUMAN,6.5.3
TBX21_HUMAN.H11MO.0.A,TBX21_HUMAN.H11MO.0.A,TBX21,TBX21,13,A,TBrain-related factors{6.5.2},30009,TBX21_HUMAN,6.5.2
TBX2_HUMAN.H11MO.0.D,TBX2_HUMAN.H11MO.0.D,TBX2,TBX2,25,D,TBX2-related factors{6.5.4},6909,TBX2_HUMAN,6.5.4
TBX3_HUMAN.H11MO.0.C,TBX3_HUMAN.H11MO.0.C,TBX3,TBX3,11,C,TBX2-related factors{6.5.4},6926,TBX3_HUMAN,6.5.4
TBX4_HUMAN.H11MO.0.D,TBX4_HUMAN.H11MO.0.D,TBX4,TBX4,20,D,TBX2-related factors{6.5.4},9496,TBX4_HUMAN,6.5.4
TBX5_HUMAN.H11MO.0.D,TBX5_HUMAN.H11MO.0.D,TBX5,TBX5,8,D,TBX2-related factors{6.5.4},6910,TBX5_HUMAN,6.5.4
TCF7_HUMAN.H11MO.0.A,TCF7_HUMAN.H11MO.0.A,TCF7,TCF7,16,A,TCF-7-related factors{4.1.3},6932,TCF7_HUMAN,4.1.3
TEAD1_HUMAN.H11MO.0.A,TEAD1_HUMAN.H11MO.0.A,TEAD1,TEAD1,12,A,TEF-1-related factors{3.6.1},7003,TEAD1_HUMAN,3.6.1
TEAD2_HUMAN.H11MO.0.D,TEAD2_HUMAN.H11MO.0.D,TEAD2,TEAD2,12,D,TEF-1-related factors{3.6.1},8463,TEAD2_HUMAN,3.6.1
TEAD3_HUMAN.H11MO.0.D,TEAD3_HUMAN.H11MO.0.D,TEAD3,TEAD3,15,D,TEF-1-related factors{3.6.1},7005,TEAD3_HUMAN,3.6.1
TEAD4_HUMAN.H11MO.0.A,TEAD4_HUMAN.H11MO.0.A,TEAD4,TEAD4,13,A,TEF-1-related factors{3.6.1},7004,TEAD4_HUMAN,3.6.1
TEF_HUMAN.H11MO.0.D,TEF_HUMAN.H11MO.0.D,TEF,TEF,14,D,C/EBP-related{1.1.8},7008,TEF_HUMAN,1.1.8
TF2LX_HUMAN.H11MO.0.D,TF2LX_HUMAN.H11MO.0.D,TGIF2LX,TGIF2LX,15,D,TALE-type homeo domain factors{3.1.4},90316,TF2LX_HUMAN,3.1.4
TF65_HUMAN.H11MO.0.A,TF65_HUMAN.H11MO.0.A,RELA,RELA,14,A,NF-kappaB-related factors{6.1.1},5970,TF65_HUMAN,6.1.1
TF7L1_HUMAN.H11MO.0.B,TF7L1_HUMAN.H11MO.0.B,TCF7L1,TCF7L1,13,B,TCF-7-related factors{4.1.3},83439,TF7L1_HUMAN,4.1.3
TF7L2_HUMAN.H11MO.0.A,TF7L2_HUMAN.H11MO.0.A,TCF7L2,TCF7L2,13,A,TCF-7-related factors{4.1.3},6934,TF7L2_HUMAN,4.1.3
TFAP4_HUMAN.H11MO.0.A,TFAP4_HUMAN.H11MO.0.A,TFAP4,TFAP4,10,A,bHLH-ZIP factors{1.2.6},7023,TFAP4_HUMAN,1.2.6
TFCP2_HUMAN.H11MO.0.D,TFCP2_HUMAN.H11MO.0.D,TFCP2,TFCP2,16,D,CP2-related factors{6.7.2},7024,TFCP2_HUMAN,6.7.2
TFDP1_HUMAN.H11MO.0.C,TFDP1_HUMAN.H11MO.0.C,TFDP1,TFDP1,14,C,E2F-related factors{3.3.2},7027,TFDP1_HUMAN,3.3.2
TFE2_HUMAN.H11MO.0.A,TFE2_HUMAN.H11MO.0.A,TCF3,TCF3,11,A,E2A-related factors{1.2.1},6929,TFE2_HUMAN,1.2.1
TFE3_HUMAN.H11MO.0.B,TFE3_HUMAN.H11MO.0.B,TFE3,TFE3,10,B,bHLH-ZIP factors{1.2.6},7030,TFE3_HUMAN,1.2.6
TFEB_HUMAN.H11MO.0.C,TFEB_HUMAN.H11MO.0.C,TFEB,TFEB,9,C,bHLH-ZIP factors{1.2.6},7942,TFEB_HUMAN,1.2.6
TGIF1_HUMAN.H11MO.0.A,TGIF1_HUMAN.H11MO.0.A,TGIF1,TGIF1,7,A,TALE-type homeo domain factors{3.1.4},7050,TGIF1_HUMAN,3.1.4
TGIF2_HUMAN.H11MO.0.D,TGIF2_HUMAN.H11MO.0.D,TGIF2,TGIF2,11,D,TALE-type homeo domain factors{3.1.4},60436,TGIF2_HUMAN,3.1.4
THA11_HUMAN.H11MO.0.B,THA11_HUMAN.H11MO.0.B,THAP11,THAP11,22,B,THAP-related factors{2.9.1},57215,THA11_HUMAN,2.9.1
THAP1_HUMAN.H11MO.0.C,THAP1_HUMAN.H11MO.0.C,THAP1,THAP1,22,C,THAP-related factors{2.9.1},55145,THAP1_HUMAN,2.9.1
THA_HUMAN.H11MO.0.C,THA_HUMAN.H11MO.0.C,THRA,THRA,17,C,Thyroid hormone receptor-related factors (NR1){2.1.2},7067,THA_HUMAN,2.1.2
THA_HUMAN.H11MO.1.D,THA_HUMAN.H11MO.1.D,THRA,THRA,10,D,Thyroid hormone receptor-related factors (NR1){2.1.2},7067,THA_HUMAN,2.1.2
THB_HUMAN.H11MO.0.C,THB_HUMAN.H11MO.0.C,THRB,THRB,17,C,Thyroid hormone receptor-related factors (NR1){2.1.2},7068,THB_HUMAN,2.1.2
THB_HUMAN.H11MO.1.D,THB_HUMAN.H11MO.1.D,THRB,THRB,10,D,Thyroid hormone receptor-related factors (NR1){2.1.2},7068,THB_HUMAN,2.1.2
TLX1_HUMAN.H11MO.0.D,TLX1_HUMAN.H11MO.0.D,TLX1,TLX1,17,D,NK-related factors{3.1.2},3195,TLX1_HUMAN,3.1.2
TWST1_HUMAN.H11MO.0.A,TWST1_HUMAN.H11MO.0.A,TWIST1,TWIST1,17,A,Tal-related factors{1.2.3},7291,TWST1_HUMAN,1.2.3
TWST1_HUMAN.H11MO.1.A,TWST1_HUMAN.H11MO.1.A,TWIST1,TWIST1,10,A,Tal-related factors{1.2.3},7291,TWST1_HUMAN,1.2.3
TYY1_HUMAN.H11MO.0.A,TYY1_HUMAN.H11MO.0.A,YY1,YY1,12,A,More than 3 adjacent zinc finger factors{2.3.3},7528,TYY1_HUMAN,2.3.3
TYY2_HUMAN.H11MO.0.D,TYY2_HUMAN.H11MO.0.D,YY2,YY2,11,D,More than 3 adjacent zinc finger factors{2.3.3},404281,TYY2_HUMAN,2.3.3
UBIP1_HUMAN.H11MO.0.D,UBIP1_HUMAN.H11MO.0.D,UBP1,UBP1,7,D,CP2-related factors{6.7.2},7342,UBIP1_HUMAN,6.7.2
UNC4_HUMAN.H11MO.0.D,UNC4_HUMAN.H11MO.0.D,UNCX,UNCX,11,D,Paired-related HD factors{3.1.3},340260,UNC4_HUMAN,3.1.3
USF1_HUMAN.H11MO.0.A,USF1_HUMAN.H11MO.0.A,USF1,USF1,12,A,bHLH-ZIP factors{1.2.6},7391,USF1_HUMAN,1.2.6
USF2_HUMAN.H11MO.0.A,USF2_HUMAN.H11MO.0.A,USF2,USF2,19,A,bHLH-ZIP factors{1.2.6},7392,USF2_HUMAN,1.2.6
VAX1_HUMAN.H11MO.0.D,VAX1_HUMAN.H11MO.0.D,VAX1,VAX1,18,D,NK-related factors{3.1.2},11023,VAX1_HUMAN,3.1.2
VAX2_HUMAN.H11MO.0.D,VAX2_HUMAN.H11MO.0.D,VAX2,VAX2,16,D,NK-related factors{3.1.2},25806,VAX2_HUMAN,3.1.2
VDR_HUMAN.H11MO.0.A,VDR_HUMAN.H11MO.0.A,VDR,VDR,16,A,Thyroid hormone receptor-related factors (NR1){2.1.2},7421,VDR_HUMAN,2.1.2
VDR_HUMAN.H11MO.1.A,VDR_HUMAN.H11MO.1.A,VDR,VDR,9,A,Thyroid hormone receptor-related factors (NR1){2.1.2},7421,VDR_HUMAN,2.1.2
VENTX_HUMAN.H11MO.0.D,VENTX_HUMAN.H11MO.0.D,VENTX,VENTX,19,D,NK-related factors{3.1.2},27287,VENTX_HUMAN,3.1.2
VEZF1_HUMAN.H11MO.0.C,VEZF1_HUMAN.H11MO.0.C,VEZF1,VEZF1,22,C,Factors with multiple dispersed zinc fingers{2.3.4},7716,VEZF1_HUMAN,2.3.4
VEZF1_HUMAN.H11MO.1.C,VEZF1_HUMAN.H11MO.1.C,VEZF1,VEZF1,12,C,Factors with multiple dispersed zinc fingers{2.3.4},7716,VEZF1_HUMAN,2.3.4
VSX1_HUMAN.H11MO.0.D,VSX1_HUMAN.H11MO.0.D,VSX1,VSX1,14,D,Paired-related HD factors{3.1.3},30813,VSX1_HUMAN,3.1.3
VSX2_HUMAN.H11MO.0.D,VSX2_HUMAN.H11MO.0.D,VSX2,VSX2,12,D,Paired-related HD factors{3.1.3},338917,VSX2_HUMAN,3.1.3
WT1_HUMAN.H11MO.0.C,WT1_HUMAN.H11MO.0.C,WT1,WT1,20,C,More than 3 adjacent zinc finger factors{2.3.3},7490,WT1_HUMAN,2.3.3
WT1_HUMAN.H11MO.1.B,WT1_HUMAN.H11MO.1.B,WT1,WT1,11,B,More than 3 adjacent zinc finger factors{2.3.3},7490,WT1_HUMAN,2.3.3
XBP1_HUMAN.H11MO.0.D,XBP1_HUMAN.H11MO.0.D,XBP1,XBP1,11,D,XBP-1-related factors{1.1.5},7494,XBP1_HUMAN,1.1.5
Z324A_HUMAN.H11MO.0.C,Z324A_HUMAN.H11MO.0.C,ZNF324,ZNF324,23,C,More than 3 adjacent zinc finger factors{2.3.3},25799,Z324A_HUMAN,2.3.3
Z354A_HUMAN.H11MO.0.C,Z354A_HUMAN.H11MO.0.C,ZNF354A,ZNF354A,24,C,More than 3 adjacent zinc finger factors{2.3.3},6940,Z354A_HUMAN,2.3.3
ZBED1_HUMAN.H11MO.0.D,ZBED1_HUMAN.H11MO.0.D,ZBED1,ZBED1,13,D,BED zinc finger factors{2.3.5},9189,ZBED1_HUMAN,2.3.5
ZBT14_HUMAN.H11MO.0.C,ZBT14_HUMAN.H11MO.0.C,ZBTB14,ZBTB14,9,C,More than 3 adjacent zinc finger factors{2.3.3},7541,ZBT14_HUMAN,2.3.3
ZBT17_HUMAN.H11MO.0.A,ZBT17_HUMAN.H11MO.0.A,ZBTB17,ZBTB17,19,A,Factors with multiple dispersed zinc fingers{2.3.4},7709,ZBT17_HUMAN,2.3.4
ZBT18_HUMAN.H11MO.0.C,ZBT18_HUMAN.H11MO.0.C,ZBTB18,ZBTB18,11,C,More than 3 adjacent zinc finger factors{2.3.3},10472,ZBT18_HUMAN,2.3.3
ZBT48_HUMAN.H11MO.0.C,ZBT48_HUMAN.H11MO.0.C,ZBTB48,ZBTB48,12,C,More than 3 adjacent zinc finger factors{2.3.3},3104,ZBT48_HUMAN,2.3.3
ZBT49_HUMAN.H11MO.0.D,ZBT49_HUMAN.H11MO.0.D,ZBTB49,ZBTB49,11,D,More than 3 adjacent zinc finger factors{2.3.3},166793,ZBT49_HUMAN,2.3.3
ZBT7A_HUMAN.H11MO.0.A,ZBT7A_HUMAN.H11MO.0.A,ZBTB7A,ZBTB7A,9,A,More than 3 adjacent zinc finger factors{2.3.3},51341,ZBT7A_HUMAN,2.3.3
ZBT7B_HUMAN.H11MO.0.D,ZBT7B_HUMAN.H11MO.0.D,ZBTB7B,ZBTB7B,21,D,More than 3 adjacent zinc finger factors{2.3.3},51043,ZBT7B_HUMAN,2.3.3
ZBTB4_HUMAN.H11MO.0.D,ZBTB4_HUMAN.H11MO.0.D,ZBTB4,ZBTB4,17,D,Factors with multiple dispersed zinc fingers{2.3.4},57659,ZBTB4_HUMAN,2.3.4
ZBTB4_HUMAN.H11MO.1.D,ZBTB4_HUMAN.H11MO.1.D,ZBTB4,ZBTB4,15,D,Factors with multiple dispersed zinc fingers{2.3.4},57659,ZBTB4_HUMAN,2.3.4
ZBTB6_HUMAN.H11MO.0.C,ZBTB6_HUMAN.H11MO.0.C,ZBTB6,ZBTB6,13,C,More than 3 adjacent zinc finger factors{2.3.3},10773,ZBTB6_HUMAN,2.3.3
ZEB1_HUMAN.H11MO.0.A,ZEB1_HUMAN.H11MO.0.A,ZEB1,ZEB1,10,A,HD-ZF factors{3.1.8},6935,ZEB1_HUMAN,3.1.8
ZEP1_HUMAN.H11MO.0.D,ZEP1_HUMAN.H11MO.0.D,HIVEP1,HIVEP1,12,D,Factors with multiple dispersed zinc fingers{2.3.4},3096,ZEP1_HUMAN,2.3.4
ZEP2_HUMAN.H11MO.0.D,ZEP2_HUMAN.H11MO.0.D,HIVEP2,HIVEP2,14,D,Factors with multiple dispersed zinc fingers{2.3.4},3097,ZEP2_HUMAN,2.3.4
ZF64A_HUMAN.H11MO.0.D,ZF64A_HUMAN.H11MO.0.D,ZFP64,ZFP64,16,D,More than 3 adjacent zinc finger factors{2.3.3},55734,ZF64A_HUMAN,2.3.3
ZFHX3_HUMAN.H11MO.0.D,ZFHX3_HUMAN.H11MO.0.D,ZFHX3,ZFHX3,11,D,HD-ZF factors{3.1.8},463,ZFHX3_HUMAN,3.1.8
ZFP28_HUMAN.H11MO.0.C,ZFP28_HUMAN.H11MO.0.C,ZFP28,ZFP28,20,C,More than 3 adjacent zinc finger factors{2.3.3},140612,ZFP28_HUMAN,2.3.3
ZFP42_HUMAN.H11MO.0.A,ZFP42_HUMAN.H11MO.0.A,ZFP42,ZFP42,12,A,More than 3 adjacent zinc finger factors{2.3.3},132625,ZFP42_HUMAN,2.3.3
ZFP82_HUMAN.H11MO.0.C,ZFP82_HUMAN.H11MO.0.C,ZFP82,ZFP82,24,C,More than 3 adjacent zinc finger factors{2.3.3},284406,ZFP82_HUMAN,2.3.3
ZFX_HUMAN.H11MO.0.A,ZFX_HUMAN.H11MO.0.A,ZFX,ZFX,10,A,More than 3 adjacent zinc finger factors{2.3.3},7543,ZFX_HUMAN,2.3.3
ZFX_HUMAN.H11MO.1.A,ZFX_HUMAN.H11MO.1.A,ZFX,ZFX,17,A,More than 3 adjacent zinc finger factors{2.3.3},7543,ZFX_HUMAN,2.3.3
ZIC1_HUMAN.H11MO.0.B,ZIC1_HUMAN.H11MO.0.B,ZIC1,ZIC1,9,B,More than 3 adjacent zinc finger factors{2.3.3},7545,ZIC1_HUMAN,2.3.3
ZIC2_HUMAN.H11MO.0.D,ZIC2_HUMAN.H11MO.0.D,ZIC2,ZIC2,15,D,More than 3 adjacent zinc finger factors{2.3.3},7546,ZIC2_HUMAN,2.3.3
ZIC3_HUMAN.H11MO.0.B,ZIC3_HUMAN.H11MO.0.B,ZIC3,ZIC3,15,B,More than 3 adjacent zinc finger factors{2.3.3},7547,ZIC3_HUMAN,2.3.3
ZIC4_HUMAN.H11MO.0.D,ZIC4_HUMAN.H11MO.0.D,ZIC4,ZIC4,15,D,More than 3 adjacent zinc finger factors{2.3.3},84107,ZIC4_HUMAN,2.3.3
ZIM3_HUMAN.H11MO.0.C,ZIM3_HUMAN.H11MO.0.C,ZIM3,ZIM3,19,C,More than 3 adjacent zinc finger factors{2.3.3},114026,ZIM3_HUMAN,2.3.3
ZKSC1_HUMAN.H11MO.0.B,ZKSC1_HUMAN.H11MO.0.B,ZKSCAN1,ZKSCAN1,19,B,More than 3 adjacent zinc finger factors{2.3.3},7586,ZKSC1_HUMAN,2.3.3
ZKSC3_HUMAN.H11MO.0.D,ZKSC3_HUMAN.H11MO.0.D,ZKSCAN3,ZKSCAN3,11,D,More than 3 adjacent zinc finger factors{2.3.3},80317,ZKSC3_HUMAN,2.3.3
ZN121_HUMAN.H11MO.0.C,ZN121_HUMAN.H11MO.0.C,ZNF121,ZNF121,20,C,More than 3 adjacent zinc finger factors{2.3.3},7675,ZN121_HUMAN,2.3.3
ZN134_HUMAN.H11MO.0.C,ZN134_HUMAN.H11MO.0.C,ZNF134,ZNF134,22,C,Factors with multiple dispersed zinc fingers{2.3.4},7693,ZN134_HUMAN,2.3.4
ZN134_HUMAN.H11MO.1.C,ZN134_HUMAN.H11MO.1.C,ZNF134,ZNF134,17,C,Factors with multiple dispersed zinc fingers{2.3.4},7693,ZN134_HUMAN,2.3.4
ZN136_HUMAN.H11MO.0.C,ZN136_HUMAN.H11MO.0.C,ZNF136,ZNF136,24,C,More than 3 adjacent zinc finger factors{2.3.3},7695,ZN136_HUMAN,2.3.3
ZN140_HUMAN.H11MO.0.C,ZN140_HUMAN.H11MO.0.C,ZNF140,ZNF140,24,C,More than 3 adjacent zinc finger factors{2.3.3},7699,ZN140_HUMAN,2.3.3
ZN143_HUMAN.H11MO.0.A,ZN143_HUMAN.H11MO.0.A,ZNF143,ZNF143,22,A,More than 3 adjacent zinc finger factors{2.3.3},7702,ZN143_HUMAN,2.3.3
ZN148_HUMAN.H11MO.0.D,ZN148_HUMAN.H11MO.0.D,ZNF148,ZNF148,15,D,More than 3 adjacent zinc finger factors{2.3.3},7707,ZN148_HUMAN,2.3.3
ZN214_HUMAN.H11MO.0.C,ZN214_HUMAN.H11MO.0.C,ZNF214,ZNF214,22,C,More than 3 adjacent zinc finger factors{2.3.3},7761,ZN214_HUMAN,2.3.3
ZN219_HUMAN.H11MO.0.D,ZN219_HUMAN.H11MO.0.D,ZNF219,ZNF219,12,D,Factors with multiple dispersed zinc fingers{2.3.4},51222,ZN219_HUMAN,2.3.4
ZN232_HUMAN.H11MO.0.D,ZN232_HUMAN.H11MO.0.D,ZNF232,ZNF232,19,D,More than 3 adjacent zinc finger factors{2.3.3},7775,ZN232_HUMAN,2.3.3
ZN250_HUMAN.H11MO.0.C,ZN250_HUMAN.H11MO.0.C,ZNF250,ZNF250,20,C,More than 3 adjacent zinc finger factors{2.3.3},58500,ZN250_HUMAN,2.3.3
ZN257_HUMAN.H11MO.0.C,ZN257_HUMAN.H11MO.0.C,ZNF257,ZNF257,12,C,More than 3 adjacent zinc finger factors{2.3.3},113835,ZN257_HUMAN,2.3.3
ZN260_HUMAN.H11MO.0.C,ZN260_HUMAN.H11MO.0.C,ZNF260,ZNF260,24,C,More than 3 adjacent zinc finger factors{2.3.3},339324,ZN260_HUMAN,2.3.3
ZN263_HUMAN.H11MO.0.A,ZN263_HUMAN.H11MO.0.A,ZNF263,ZNF263,20,A,More than 3 adjacent zinc finger factors{2.3.3},10127,ZN263_HUMAN,2.3.3
ZN263_HUMAN.H11MO.1.A,ZN263_HUMAN.H11MO.1.A,ZNF263,ZNF263,11,A,More than 3 adjacent zinc finger factors{2.3.3},10127,ZN263_HUMAN,2.3.3
ZN264_HUMAN.H11MO.0.C,ZN264_HUMAN.H11MO.0.C,ZNF264,ZNF264,24,C,More than 3 adjacent zinc finger factors{2.3.3},9422,ZN264_HUMAN,2.3.3
ZN274_HUMAN.H11MO.0.A,ZN274_HUMAN.H11MO.0.A,ZNF274,ZNF274,20,A,More than 3 adjacent zinc finger factors{2.3.3},10782,ZN274_HUMAN,2.3.3
ZN281_HUMAN.H11MO.0.A,ZN281_HUMAN.H11MO.0.A,ZNF281,ZNF281,15,A,More than 3 adjacent zinc finger factors{2.3.3},23528,ZN281_HUMAN,2.3.3
ZN282_HUMAN.H11MO.0.D,ZN282_HUMAN.H11MO.0.D,ZNF282,ZNF282,14,D,More than 3 adjacent zinc finger factors{2.3.3},8427,ZN282_HUMAN,2.3.3
ZN317_HUMAN.H11MO.0.C,ZN317_HUMAN.H11MO.0.C,ZNF317,ZNF317,20,C,More than 3 adjacent zinc finger factors{2.3.3},57693,ZN317_HUMAN,2.3.3
ZN320_HUMAN.H11MO.0.C,ZN320_HUMAN.H11MO.0.C,ZNF320,ZNF320,20,C,More than 3 adjacent zinc finger factors{2.3.3},162967,ZN320_HUMAN,2.3.3
ZN322_HUMAN.H11MO.0.B,ZN322_HUMAN.H11MO.0.B,ZNF322,ZNF322,20,B,More than 3 adjacent zinc finger factors{2.3.3},79692,ZN322_HUMAN,2.3.3
ZN329_HUMAN.H11MO.0.C,ZN329_HUMAN.H11MO.0.C,ZNF329,ZNF329,20,C,More than 3 adjacent zinc finger factors{2.3.3},79673,ZN329_HUMAN,2.3.3
ZN331_HUMAN.H11MO.0.C,ZN331_HUMAN.H11MO.0.C,ZNF331,ZNF331,20,C,More than 3 adjacent zinc finger factors{2.3.3},55422,ZN331_HUMAN,2.3.3
ZN333_HUMAN.H11MO.0.D,ZN333_HUMAN.H11MO.0.D,ZNF333,ZNF333,9,D,More than 3 adjacent zinc finger factors{2.3.3},84449,ZN333_HUMAN,2.3.3
ZN335_HUMAN.H11MO.0.A,ZN335_HUMAN.H11MO.0.A,ZNF335,ZNF335,22,A,Factors with multiple dispersed zinc fingers{2.3.4},63925,ZN335_HUMAN,2.3.4
ZN335_HUMAN.H11MO.1.A,ZN335_HUMAN.H11MO.1.A,ZNF335,ZNF335,7,A,Factors with multiple dispersed zinc fingers{2.3.4},63925,ZN335_HUMAN,2.3.4
ZN341_HUMAN.H11MO.0.C,ZN341_HUMAN.H11MO.0.C,ZNF341,ZNF341,22,C,Factors with multiple dispersed zinc fingers{2.3.4},84905,ZN341_HUMAN,2.3.4
ZN341_HUMAN.H11MO.1.C,ZN341_HUMAN.H11MO.1.C,ZNF341,ZNF341,9,C,Factors with multiple dispersed zinc fingers{2.3.4},84905,ZN341_HUMAN,2.3.4
ZN350_HUMAN.H11MO.0.C,ZN350_HUMAN.H11MO.0.C,ZNF350,ZNF350,18,C,More than 3 adjacent zinc finger factors{2.3.3},59348,ZN350_HUMAN,2.3.3
ZN350_HUMAN.H11MO.1.D,ZN350_HUMAN.H11MO.1.D,ZNF350,ZNF350,24,D,More than 3 adjacent zinc finger factors{2.3.3},59348,ZN350_HUMAN,2.3.3
ZN382_HUMAN.H11MO.0.C,ZN382_HUMAN.H11MO.0.C,ZNF382,ZNF382,22,C,Factors with multiple dispersed zinc fingers{2.3.4},84911,ZN382_HUMAN,2.3.4
ZN384_HUMAN.H11MO.0.C,ZN384_HUMAN.H11MO.0.C,ZNF384,ZNF384,12,C,More than 3 adjacent zinc finger factors{2.3.3},171017,ZN384_HUMAN,2.3.3
ZN394_HUMAN.H11MO.0.C,ZN394_HUMAN.H11MO.0.C,ZNF394,ZNF394,20,C,More than 3 adjacent zinc finger factors{2.3.3},84124,ZN394_HUMAN,2.3.3
ZN394_HUMAN.H11MO.1.D,ZN394_HUMAN.H11MO.1.D,ZNF394,ZNF394,9,D,More than 3 adjacent zinc finger factors{2.3.3},84124,ZN394_HUMAN,2.3.3
ZN410_HUMAN.H11MO.0.D,ZN410_HUMAN.H11MO.0.D,ZNF410,ZNF410,13,D,More than 3 adjacent zinc finger factors{2.3.3},57862,ZN410_HUMAN,2.3.3
ZN418_HUMAN.H11MO.0.C,ZN418_HUMAN.H11MO.0.C,ZNF418,ZNF418,17,C,Factors with multiple dispersed zinc fingers{2.3.4},147686,ZN418_HUMAN,2.3.4
ZN418_HUMAN.H11MO.1.D,ZN418_HUMAN.H11MO.1.D,ZNF418,ZNF418,12,D,Factors with multiple dispersed zinc fingers{2.3.4},147686,ZN418_HUMAN,2.3.4
ZN423_HUMAN.H11MO.0.D,ZN423_HUMAN.H11MO.0.D,ZNF423,ZNF423,15,D,Factors with multiple dispersed zinc fingers{2.3.4},23090,ZN423_HUMAN,2.3.4
ZN436_HUMAN.H11MO.0.C,ZN436_HUMAN.H11MO.0.C,ZNF436,ZNF436,24,C,More than 3 adjacent zinc finger factors{2.3.3},80818,ZN436_HUMAN,2.3.3
ZN449_HUMAN.H11MO.0.C,ZN449_HUMAN.H11MO.0.C,ZNF449,ZNF449,11,C,More than 3 adjacent zinc finger factors{2.3.3},203523,ZN449_HUMAN,2.3.3
ZN467_HUMAN.H11MO.0.C,ZN467_HUMAN.H11MO.0.C,ZNF467,ZNF467,22,C,Factors with multiple dispersed zinc fingers{2.3.4},168544,ZN467_HUMAN,2.3.4
ZN490_HUMAN.H11MO.0.C,ZN490_HUMAN.H11MO.0.C,ZNF490,ZNF490,24,C,More than 3 adjacent zinc finger factors{2.3.3},57474,ZN490_HUMAN,2.3.3
ZN502_HUMAN.H11MO.0.C,ZN502_HUMAN.H11MO.0.C,ZNF502,ZNF502,20,C,More than 3 adjacent zinc finger factors{2.3.3},91392,ZN502_HUMAN,2.3.3
ZN524_HUMAN.H11MO.0.D,ZN524_HUMAN.H11MO.0.D,ZNF524,ZNF524,18,D,More than 3 adjacent zinc finger factors{2.3.3},147807,ZN524_HUMAN,2.3.3
ZN528_HUMAN.H11MO.0.C,ZN528_HUMAN.H11MO.0.C,ZNF528,ZNF528,20,C,More than 3 adjacent zinc finger factors{2.3.3},84436,ZN528_HUMAN,2.3.3
ZN547_HUMAN.H11MO.0.C,ZN547_HUMAN.H11MO.0.C,ZNF547,ZNF547,20,C,More than 3 adjacent zinc finger factors{2.3.3},284306,ZN547_HUMAN,2.3.3
ZN549_HUMAN.H11MO.0.C,ZN549_HUMAN.H11MO.0.C,ZNF549,ZNF549,20,C,More than 3 adjacent zinc finger factors{2.3.3},256051,ZN549_HUMAN,2.3.3
ZN554_HUMAN.H11MO.0.C,ZN554_HUMAN.H11MO.0.C,ZNF554,ZNF554,20,C,More than 3 adjacent zinc finger factors{2.3.3},115196,ZN554_HUMAN,2.3.3
ZN554_HUMAN.H11MO.1.D,ZN554_HUMAN.H11MO.1.D,ZNF554,ZNF554,9,D,More than 3 adjacent zinc finger factors{2.3.3},115196,ZN554_HUMAN,2.3.3
ZN563_HUMAN.H11MO.0.C,ZN563_HUMAN.H11MO.0.C,ZNF563,ZNF563,21,C,More than 3 adjacent zinc finger factors{2.3.3},147837,ZN563_HUMAN,2.3.3
ZN563_HUMAN.H11MO.1.C,ZN563_HUMAN.H11MO.1.C,ZNF563,ZNF563,12,C,More than 3 adjacent zinc finger factors{2.3.3},147837,ZN563_HUMAN,2.3.3
ZN582_HUMAN.H11MO.0.C,ZN582_HUMAN.H11MO.0.C,ZNF582,ZNF582,24,C,More than 3 adjacent zinc finger factors{2.3.3},147948,ZN582_HUMAN,2.3.3
ZN586_HUMAN.H11MO.0.C,ZN586_HUMAN.H11MO.0.C,ZNF586,ZNF586,20,C,More than 3 adjacent zinc finger factors{2.3.3},54807,ZN586_HUMAN,2.3.3
ZN589_HUMAN.H11MO.0.D,ZN589_HUMAN.H11MO.0.D,ZNF589,ZNF589,16,D,More than 3 adjacent zinc finger factors{2.3.3},51385,ZN589_HUMAN,2.3.3
ZN652_HUMAN.H11MO.0.D,ZN652_HUMAN.H11MO.0.D,ZNF652,ZNF652,11,D,More than 3 adjacent zinc finger factors{2.3.3},22834,ZN652_HUMAN,2.3.3
ZN667_HUMAN.H11MO.0.C,ZN667_HUMAN.H11MO.0.C,ZNF667,ZNF667,19,C,More than 3 adjacent zinc finger factors{2.3.3},63934,ZN667_HUMAN,2.3.3
ZN680_HUMAN.H11MO.0.C,ZN680_HUMAN.H11MO.0.C,ZNF680,ZNF680,20,C,More than 3 adjacent zinc finger factors{2.3.3},340252,ZN680_HUMAN,2.3.3
